상품명,규격,단위수량,표준바코드,본사바코드,대표바코드,물류바코드,상품구분,제품설명
비비패취,60매,1,8809303220632,,,,비의약품,-
네오세이프마스크,8매,1,8809449340126,,,,비의약품,-
덴쳐틀니세정컵,1EA,1,8809273171798,,,,비의약품,-
게보린정,10T,1,8806478000410,,,,일반의약품,-
리콜라스위스허브캔디,100g,1,7610700600863,,,,비의약품,-
메딕스,10cm*15cm*50EA,1,8809010704456,,,,비의약품,-
메딕스,10cm*13cm*50EA,1,8809010700441,,,,비의약품,-
이천프로펜정,1p,1,8806575007251,,,,일반의약품,허가취하
프리백큐정,6T,1,8806473028426,,,,일반의약품,"구내염,육체피로에 먹는 비타민
1일 1회,1정씩 복용(단기간)"
릴랙슬정,10T,1,8806473028518,,,,일반의약품,"통증을 동반하지 않은
근육뭉침에 추천"
비타하임아연+비타민씨,20T,1,4029787350777,,,,건강기능식품,맛있는 발포형 비타민C 아연
원큐플러스,1KIT,1,8806057913346,,,,비의약품,-
애니가드황사마스크대형,1EA,1,8809233832783,,,,비의약품,-
벤작에이씨겔2.5%,15g,1,8806557001635,,,,일반의약품,"無항생제 여드름치료제
겔타입,1일 1-2회"
페르빈카타플라스마,6매,1,8806498061712,,,,일반의약품,"관절염 근육통에 빠른 효과
진통소염 파스"
콤파스(블랙베리),14g,1,4017602700111,,,,비의약품,-
콤파스(와일드베리),14g,1,4017602700722,,,,비의약품,-
콤파스(레몬),50T,1,4017602700579,,,,비의약품,-
스리엔에스테이프,5cm*5m,1,8809261008891,,,,비의약품,-
슬림다이어트밸런스,28p,1,8809208687318,,,,건강기능식품,"하루 한포 마시는 다이어트
체지방 낮추고 에너지대사 활발하게"
3M테가솝틴(하이드로콜로이드),10cm*10cm,1,8801230103897,,,,비의약품,-
비겐크림톤빠른염색7,1EA,1,8806011625483,,,,비의약품,-
비겐크림톤빠른염색6,1EA,1,8806011625476,,,,비의약품,-
비겐크림톤빠른염색5,1EA,1,8806011625469,,,,비의약품,-
비겐크림톤 4호,1EA,1,8806011625452,,,,비의약품,-
더마플라스트유니버셜,1EA,1,4052199206530,,,,비의약품,-
메디프로텍드레싱밴드L,4매,1,8809118171730,,,,비의약품,-
바이오더마아토덤크림듀오팩(보습),500ml+200ml,1,8809371191193,,,,비의약품,-
판시딜캡슐,120c,1,8806534020734,,,,일반의약품,"자라나라 머리머리
약으로 된 유명한 맥주효모"
한신생정환,90포,1,8806550031325,,,,일반의약품,"갱년기장애,노화기능장애"
레가론캡슐 140,30c,1,8806422002217,,,,일반의약품,"독일산 원료,간수치 개선에 도움
(140mg,30캡슐)"
일월맥반석황토찜질기(타이머),1EA,1,8809231621112,,,,비의약품,-
4단분리형볼커버마스크,1EA,1,8809451630000,,,,비의약품,-
클리딘에프연고,10g,1,8806422035918,,,,일반의약품,"후시딘 동일성분 항생제연고
상처부위 감염 시"
에디슨스텐젓가락,1EA,1,8809304206017,,,,비의약품,-
프로신프로폴리스,10c,1,8806052405310,,,,건강기능식품,"항산화 작용으로 건강을
지키는 프로폴리스"
스프레이에탄올,60ml,1,8809312572012,,,,비의약품,-
네오면반창고대,7.5cm,1,8809321292154,,,,비의약품,-
시크릿쥬쥬스텐젓가락,1EA,1,8809304204921,,,,비의약품,-
네오면반창고큐(중형),2.5cm*330cm,1,8809321292147,,,,비의약품,-
알싹정,2T,1,8806218016510,,,,일반의약품,"온가족 구충제(회충약)
봄,가을 1년에 2번 먹어요~"
조아스트롱조인트겔,50g,1,8806446002927,,,,일반의약품,근육통/타박상을 시원하게
무릎보호대탄력밴드,1EA,1,8803941233351,,,,비의약품,-
"한일면고무탄력붕대(4"")",10cm*190cm,1,8809232573328,,,,비의약품,-
수성붕대에스3호,5cm*540cm,1,8809302581819,,,,비의약품,-
엑소데릴액,30ml,1,8806429017726,,,,일반의약품,"뿌리는 무좀약
오래된 무좀"
보중익기탕,9g,1,8806550027717,,,,일반의약품,"만성필,체력저하,식은 땀,건강회복"
테라미플러스크림,25g,1,8806707017714,,,,일반의약품,복합 무좀크림
고려은단중성화비타민C,120T,1,8806012470372,,,,건강기능식품,-
무조무알파에어로솔,60ml,1,8806438022315,,,,일반의약품,-
류마정,120T,1,8806516014317,,,,일반의약품,"천연 생약성분의 관절염 치료제 
1일 2회 복용"
하벤유캡슐,10c,1,8806428026217,,,,일반의약품,제품명변경
자가점착식탄력보호대,5cm*4.5m,1,6945347810506,,,,비의약품,-
블레미쉬클리어핑크파우더,1EA,1,8806080029878,,,,비의약품,-
헤모큐플러스캡슐,60c*2EA,1,28806416026018,,,,일반의약품,철 결핍성 빈혈 예방 및 치료제
블레미쉬클리어스팟펜,1EA,1,8806080029861,,,,비의약품,-
바이오케어골드,1EA,1,8809014276058,,,,비의약품,-
하이비플러스,240C,1,18806619019223,,,,일반의약품,"사유가 함유된 눈영양제
눈의 피로,시력보호,안구 건조"
쥐타운,50g,1,8809236711016,,,,비의약품,-
영진구론산바몬드S,100ml*10EA,1,8801105994230,,,,비의약품,-
성진거즈3호,200매,1,8809331993058,,,,비의약품,-
정림1회용주사기,3ml,1,8809063932097,,,,비의약품,-
메디큐어그라미키즈밴드,16매,1,8806037006723,,,,비의약품,-
토마셀연질캡슐,120c,1,8806636060324,,,,일반의약품,"비타민E,항산화제"
잡스개미용과립,5EA,1,8806018706710,,,,비의약품,-
LG황사마스크,1EA,1,8801051011340,,,,비의약품,-
마시는고려은단비타민C,100ml,1,8806012810314,,,,비의약품,-
시원타조아나잘스프레이,30ml,1,8806446030111,,,,일반의약품,"뿌리는 비염치료제
코감기∙알레르기성비염∙부비동염"
잡스울트라겔,35g,1,8806018706727,,,,비의약품,-
잡스스톰그래뉼,100g,1,8806018706734,,,,비의약품,-
목앤스프레이,20ml,1,8806435070913,,,,일반의약품,-
시크릿쥬쥬유아용칫솔,1EA,1,8809042048603,,,,비의약품,-
시크릿쥬쥬어린이용칫솔,1EA,1,8809042048627,,,,비의약품,-
아이배냇스틱쌀과자와렌틸콩,30g,1,8809360924160,,,,비의약품,-
아이배냇스틱쌀과자,30g,1,8809360924153,,,,비의약품,-
아이배냇동글이(치즈&요거트),20g*3EA,1,8809360924238,,,,비의약품,-
아이배냇동글이(계란),20g*3EA,1,8809360924214,,,,비의약품,-
아이배냇동글이(라즈베리&딸기),20g*3EA,1,8809360924221,,,,비의약품,-
아이배냇곡물친구(치즈),40g,1,8809360924047,,,,비의약품,-
아이배냇곡물친구(딸기),40g,1,8809360924016,,,,비의약품,-
아이배냇곡물친구(고구마),40g,1,8809360924030,,,,비의약품,-
센시비오+세비엄(잇팩),500ml+250ml,11,8809371190462,,,,비의약품,-
센시비오+센시비오(잇팩),500ml+250ml,1,8809371190455,,,,비의약품,-
식물성필수지방산리놀렌산,360c,1,8809401660231,,,,건강기능식품,"필수지방산(리놀렌산)보충
캐나다 직수입,저온 압착공법"
징코메가,180c,1,769972703325,,,,건강기능식품,"기억력,혈행개선에 도움을 줌"
징코메가,180c*2EA,1,769972703332,,,,건강기능식품,"기억력,혈행개선에 도움을 줌"
한방웰스크림,20g,1,8806138304919,,,,비의약품,-
듀오락에이티피,60p*2EA,2,8809128781998,,,,건강기능식품,"보장균수 80억/1일 1포
아이들의 민감한 장 스페셜 케어"
중외아이애좋은치약(복숭아향),80g,1,8806125400549,,,,비의약품,-
아이미산,90p,1,8806696032125,,,,일반의약품,"지방과다,대사성 순환용제"
우리아이생생유산균,30p*2EA,1,8809353377140,,,,건강기능식품,"프로+프리 바이오틱스(유산균)
배변원활,장환경 개선,면역증진"
한일순면봉,100p,1,8809232573410,,,,비의약품,-
한일순면봉,200p,1,8809232573427,,,,비의약품,-
4단UVCUT마스크,1EA,1,8809152167003,,,,비의약품,-
크로세펜정,10T,1,8806481034617,,,,일반의약품,"진통제가 포함된
근육이완제"
레보골드액,60EA,1,28806428003823,,,,일반의약품,"마시는 숙취해소제,체내 노폐물 배설"
페리오777칫솔,1EA,1,8801051015102,,,,비의약품,-
트릴로신정,10T,1,8806228021917,,,,일반의약품,염증성 부종 완화
세다코푸연질캡슐,10c,1,8806476032512,,,,일반의약품,종합기침감기약 하루 2알 3회
비타민하우스코엔자임NatQ,60c,2,8809353377195,,,,건강기능식품,"코엔자임큐텐의 항산화효과와
나토키나아제의 혈전용해 효과"
상공황사마스크,6매,1,8809291820685,,,,비의약품,-
글루콤액,100ml*15EA,15,8806428001429,,,,일반의약품,"1일 1회 1앰플
피로회복 및 자양강장"
식물성필수지방산리놀렌산,180,1,8809401660248,,,,건강기능식품,"필수지방산(리놀렌산)보충
캐나다 직수입,저온 압착공법"
이튼돌플러스캡슐,10c,1,8806542021020,,,,일반의약품,"이가탄과 동일성분 제품
잇몸의 부기,출혈,통증완화 위한 의약품"
세이프황사마스크파랑,1EA,1,8809273171514,,,,비의약품,-
아스트릭스캡슐,100c,1,8806705005423,,,,일반의약품,심혈관질환의 혈전생성 억제
스포츠텍스,5cm*5m,1,8809042047866,,,,비의약품,-
게리송센텔라연고(의약외품),15ml,1,8809294557151,,,,비의약품,-
댕기머리터치업러브젤,120ml,1,8807779085762,,,,비의약품,-
플레이보이콘돔돌기형,3p,1,857784002146,,,,비의약품,-
해우원에프과립,1p,1,8806624049713,,,,일반의약품,"변비로 인한 식욕 부진,복부팽만감 해소"
플레이보이콘돔초박형,3p,1,857784002108,,,,비의약품,-
뽀로로안심치약(천연딸기향),80g,1,8809099642502,,,,비의약품,-
뽀로로안심치약(천연사과향),80g,1,8809099643110,,,,비의약품,-
세이프황사마스크,1EA,1,8809273171453,,,,비의약품,-
파인텍황사방역용마스크(대형),1EA,1,8809232381763,,,,비의약품,-
맛있는키즈비타민(카봇),50T,1,8809434840419,,,,건강기능식품,-
하이드로크림,100ml,1,4260019920232,,,,비의약품,-
핸드크림크림로숀,100ml,1,4260019920195,,,,비의약품,-
덴큐정,120정,1,8806429000940,,,,일반의약품,"효과좋은 잇몸영양제
인사돌 동일 제품(40일)"
쌕쌕,238ml,1,8801056936013,,,,비의약품,-
에바치온캡슐,45p,1,8806446007748,,,,일반의약품,"독소 해독,피부미백,항산화 효과"
탄력가압허리밸트,M,1,8809348670218,,,,비의약품,-
보성테이핑손목장갑보호대(L),1EA,1,8809072983660,,,,비의약품,-
보성테이핑손목장갑보호대(M),1EA,1,8809072983653,,,,비의약품,-
보성테이핑손목보호대(L),1EA,1,8809072983639,,,,비의약품,-
테이핑손목보호대,M,1,8809072983622,,,,비의약품,-
보성테이핑손목보호대(S),1EA,1,8809072983615,,,,비의약품,-
보성테이핑팔꿈치보호대(S),1EA,1,8809072983707,,,,비의약품,-
보성테이핑팔꿈치보호대(M),1EA,1,8809072983714,,,,비의약품,-
보성테이핑팔꿈치보호대(L),1EA,1,8809072983721,,,,비의약품,-
보성테이핑손목장갑보호대(S),1EA,1,8809072983646,,,,비의약품,-
보성테이핑발목보호대(L),1EA,1,8809072983752,,,,비의약품,-
